radius_km,window_days,treatment_col,mediator_col,n_cells,n_event_cells,n_clusters,total_effect,total_pval,total_ci_low,total_ci_high,direct_effect,direct_pval,direct_ci_low,direct_ci_high,indirect_diff,indirect_product,indirect_ci_low,indirect_ci_high,path_a,path_a_pval,path_b,path_b_pval,causal_r2,misspecified_flag,bootstrap_ok,placebo_effect,rcc_mean,rcc_std,sensitivity_strength_0.10,sensitivity_strength_0.30,sensitivity_strength_0.50,refutation_status,avg_vif
1,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,580,343,1.7771990086887717e-09,0.2341887136638543,3.989445607828427e-12,4.773612558022535e-09,1.6614925824978434e-09,0.31529838139531796,-5.092706880955193e-10,5.3514115187745406e-09,1.1570642619092822e-10,1.1570642619081387e-10,-7.061465009745451e-10,9.261468762340384e-10,0.0004679370167319244,7.055549682850389e-11,2.472692308014194e-07,0.7356992774417728,0.0021230670786323014,False,50,-1.1826971427180612e-10,1.7771851218203494e-09,4.628800048845987e-13,4.019492158921289e-09,1.9460919896863864e-08,4.4195274444793936e-08,PASS,4.165347991498218
2,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,1854,343,5.361467554506543e-09,0.12800979605618454,6.765439678868302e-10,1.2212178529002737e-08,4.819521941775169e-09,0.20066823181851012,-6.384853824580221e-11,1.3268871169698068e-08,5.419456127313742e-10,5.41945612732956e-10,-1.4246263897105003e-09,2.0009769958559667e-09,0.0004664144299507785,4.761180394768409e-11,1.1619400643117934e-06,0.4139487385682181,0.0072506581911441215,False,50,-2.3200999200743693e-10,5.361588722406175e-09,9.619620404005971e-13,9.270804949188624e-09,3.6533284193464587e-08,7.982816029486468e-08,PASS,4.183844032731223
3,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,3715,343,8.285955819825329e-09,0.11705213364111339,9.491207517986999e-10,1.8811886683779797e-08,7.041783572932716e-09,0.19445777785731078,2.3411577237920785e-10,1.9451524073744275e-08,1.2441722468926122e-09,1.2441722468867483e-09,-1.5166621132706307e-09,3.2725147124401526e-09,0.0004673100699551704,4.651087695866665e-11,2.6624126610541544e-06,0.24890142275065252,0.00823668097202268,False,50,-7.996503654808594e-10,8.285551477439458e-09,1.0802402958808377e-12,1.3729033729847362e-08,5.202523283739796e-08,1.1338882574318542e-07,PASS,4.1891234336807806
4,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,5791,343,1.0325016275377288e-08,0.13709693490957936,-8.596813252841418e-10,2.4571784065076877e-08,8.44766253542071e-09,0.22364262094977116,-1.7574322415762475e-09,2.3296750583966034e-08,1.8773537399565784e-09,1.877353739957488e-09,-1.8841669267912865e-09,4.416404816706761e-09,0.00046880558666954095,4.399803882606025e-11,4.004546433190922e-06,0.20261023066518646,0.010256815397932106,False,50,-6.936714148593987e-10,1.0324429827874657e-08,1.1053727277582872e-12,1.696147558861541e-08,6.408989126213462e-08,1.3902039653726473e-07,PASS,4.197805997668859
5,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,7898,343,1.3207905046974653e-08,0.10975761394273918,-1.2844576274338902e-09,3.028753015303747e-08,1.1088468501764467e-08,0.17590858165393253,-1.5225187202958584e-09,2.8168863207670944e-08,2.119436545210186e-09,2.119436545221026e-09,-2.278698552229322e-09,4.7263025765525805e-09,0.00046988890528712517,5.870376218465232e-11,4.510505613930055e-06,0.23072361313993406,0.01235468549469343,False,50,-5.98313208170925e-10,1.3207526411604778e-08,1.4829574485529852e-12,2.0783619564558726e-08,7.514117463208635e-08,1.6164873332731506e-07,PASS,4.203801697806227
6,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,10379,343,1.6326416411774122e-08,0.08657039589417022,-2.5453220879745534e-10,3.4057673452524505e-08,1.4668298561650815e-08,0.12195140529548204,-7.758341258724205e-11,3.104290277717623e-08,1.6581178501233072e-09,1.6581178501341474e-09,-3.714404756195649e-09,4.4886318687548735e-09,0.00047009720184849673,6.287407649413974e-11,3.5271808545427733e-06,0.44104416393107515,0.015045553996440808,False,50,-5.00785565939225e-10,1.6326189580909122e-08,1.7421342090970436e-12,2.4819244895267652e-08,8.642670498790747e-08,1.843008436731106e-07,PASS,4.207203732683429
7,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,13191,343,1.798314753105825e-08,0.07913316937719855,1.088624285233156e-09,3.475344460556536e-08,1.674014188040114e-08,0.09809630983911274,2.4247688889430575e-09,3.313380810561328e-08,1.2430056506571082e-09,1.243005650656441e-09,-5.040197809800285e-09,4.405473488199115e-09,0.0004703977486946807,6.61793293111542e-11,2.6424566318731127e-06,0.6383967937278833,0.018392745619212225,False,50,1.4531721803282315e-10,1.798254086365284e-08,2.1865048131990674e-12,2.767756727963448e-08,9.727903597196634e-08,2.073245792648129e-07,PASS,4.211597178152493
8,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,16393,343,1.821825119330441e-08,0.0928310335569057,-1.0148075789261762e-09,3.655619260765476e-08,1.792380414155267e-08,0.09504019872535004,2.4142185857147632e-09,3.702799028672388e-08,2.944470517517372e-10,2.944470517395442e-10,-7.434745070446755e-09,5.589909299036108e-09,0.00047119782141770596,6.972247916181154e-11,6.248905201930544e-07,0.9261457520740308,0.021695233089182864,False,50,-1.1715352909470386e-09,1.8217645329975787e-08,2.6210975900840093e-12,2.889529717328843e-08,1.0621424018064082e-07,2.28712187111933e-07,PASS,4.21580401501912
9,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,20072,343,1.5351796896561927e-08,0.17800560632740736,-4.4566345809779106e-09,3.4292585224907455e-08,1.6060586451906855e-08,0.15503947572657567,-1.1081894601714263e-10,3.676086416156554e-08,-7.087895553449283e-10,-7.087895553425676e-10,-9.81525592258701e-09,6.284014304987082e-09,0.0004716312759040625,6.7593150326371e-11,-1.5028468033293597e-06,0.8427996428267241,0.02540410906053625,False,50,-3.277730212242852e-10,1.5351813387750392e-08,3.0692965212187436e-12,2.718787506559193e-08,1.1208177937134412e-07,2.483298145317482e-07,PASS,4.214100049065627
10,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,23780,343,1.3761969092440168e-08,0.23422032356975597,-6.408425500988792e-09,3.401291066924166e-08,1.4140571282194004e-08,0.2172560855583826,-3.4989160110901864e-09,3.5482101870925254e-08,-3.786021897538364e-10,-3.7860218972954513e-10,-1.0245242775281517e-08,7.770536771008468e-09,0.0004716830159251893,6.454283692617266e-11,-8.026623324287615e-07,0.9222890652127008,0.027344087966734598,False,50,1.2444704781779653e-09,1.3762172472607303e-08,3.1539347531247596e-12,2.6481551870029023e-08,1.1789083422680178e-07,2.65622056825363e-07,PASS,4.2147354767069265
11,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,27363,343,1.2844980088792231e-08,0.2821921811630991,-9.647547858885525e-09,3.514334229939758e-08,1.2452818380195795e-08,0.2984465502498227,-9.450160599066108e-09,3.576653876461691e-08,3.921617085964362e-10,3.921617085984287e-10,-1.0716928435006121e-08,9.359818320051613e-09,0.0004714480228892499,5.8110929114012424e-11,8.318238481414807e-07,0.926187071092728,0.02912656850283024,False,50,1.0745540043964327e-09,1.2845373432115438e-08,4.585236423659191e-12,2.6283335226468296e-08,1.2401109905250416e-07,2.814933000585719e-07,PASS,4.218123208987117
12,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,30909,343,1.3457886215257718e-08,0.27097984750445225,-1.1087102775845535e-08,3.6174671988414746e-08,1.324536316191648e-08,0.28713905731360734,-1.2136710429263648e-08,3.797730862929767e-08,2.1252305334123824e-10,2.125230533351164e-10,-1.1928265834936026e-08,1.0087725004522308e-08,0.00047113925274372377,6.026222833525598e-11,4.510833094408254e-07,0.9625721647203336,0.031288901823600335,False,50,1.9082619330136066e-09,1.3458950529759729e-08,5.74885789905399e-12,2.7749892956905937e-08,1.3146441747194063e-07,2.9759230662386783e-07,FLAG,4.221289685985572
13,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,34352,343,1.5492951526097735e-08,0.20442294652217197,-1.2018861925571138e-08,4.0989447979236676e-08,1.548648741675086e-08,0.21379011563957173,-1.1514615111244436e-08,4.1065820306656745e-08,6.464109346873805e-12,6.464109341117009e-12,-1.3582878338036138e-08,1.097436911615965e-08,0.00047114274730640005,6.414751760905625e-11,1.3720065475003865e-08,0.9989050374542882,0.033645992858249985,False,50,1.6323762078812252e-09,1.5494032604535905e-08,5.8745137530992175e-12,3.0625540035582886e-08,1.3952491659339773e-07,3.1314742825924593e-07,FLAG,4.224430149242308
14,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,37920,343,1.534577317089859e-08,0.2148529579742774,-1.3923461400892695e-08,4.116550771184147e-08,1.4759667412988307e-08,0.24026840229220003,-9.403135298876937e-09,3.916461141286122e-08,5.861057579102827e-10,5.86105757885247e-10,-1.2312856547540382e-08,1.240511014817157e-08,0.0004713548361798983,7.207188518184375e-11,1.2434491234572856e-06,0.9027233485775212,0.03555824286375753,False,50,2.1844777326330246e-09,1.5347169148036967e-08,6.4336638331980385e-12,3.116034140671441e-08,1.451814215219624e-07,3.2681612070022416e-07,FLAG,4.2256664479258035
15,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,41993,343,1.8874437850670157e-08,0.15991534361624404,-9.02946827501092e-09,4.898556133806923e-08,1.74653049345919e-08,0.20180980082873423,-6.613153139277223e-09,4.297953150861981e-08,1.4091329160782576e-09,1.4091329160517284e-09,-1.0523198969832991e-08,1.3208497405207217e-08,0.00047139913088426063,7.61993927852264e-11,2.989256499918544e-06,0.7806030228025211,0.03714772925066112,False,50,2.2129391013738334e-09,1.887601878654583e-08,6.598020370106976e-12,3.546410005116481e-08,1.543156923987269e-07,3.4442979340049365e-07,FLAG,4.227641803006468
16,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,46080,343,2.4001095957724045e-08,0.10003256334829101,-2.9019236818921245e-09,5.625782572903235e-08,2.2422697136196897e-08,0.1346353738704859,-5.988888931023911e-09,4.8448042178504397e-08,1.5783988215271478e-09,1.5783988215456333e-09,-9.874995573289095e-09,1.3240640386306912e-08,0.0004714387683551146,7.865852291169309e-11,3.3480462946498564e-06,0.7689678080900587,0.038917350918756366,False,50,3.586833839178859e-09,2.4002394385810923e-08,6.293570961208138e-12,4.128838726668151e-08,1.649097915277984e-07,3.620203295491911e-07,FLAG,4.228816762870173
17,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,50066,343,2.870877966219617e-08,0.07650992664044008,-1.8533576400808914e-09,6.437955672886395e-08,2.7814487226294447e-08,0.09859225053308646,-5.728085508857299e-09,5.78118660335636e-08,8.942924359017216e-10,8.942924359085914e-10,-9.634867940018493e-09,1.170661115964804e-08,0.000471595268786252,8.354910955550377e-11,1.896313417669007e-06,0.8722112732713366,0.04077084071562942,False,50,3.6125356907190285e-09,2.871005048407529e-08,5.528522031490997e-12,4.6458742448366994e-08,1.7504974674538344e-07,3.7882302143310134e-07,FLAG,4.230918155390261
18,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,54259,343,3.071128546762919e-08,0.08906782946699666,-3.999810790073953e-09,6.67231768907739e-08,2.9219136048241917e-08,0.1274817603645491,-9.250400477302484e-09,5.8690824400794354e-08,1.4921494193872763e-09,1.4921494193787274e-09,-9.418022445894703e-09,1.3148171413804375e-08,0.00047181015034904563,8.757545122285751e-11,3.162605590987887e-06,0.8077335505074132,0.04285211996536897,False,50,2.628664831805551e-09,3.071265883817276e-08,5.392795511883733e-12,4.90337441121562e-08,1.8227359083189022e-07,3.93639439182095e-07,PASS,4.23205910537389
19,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,58137,343,2.9519120455526073e-08,0.1278522155622801,-6.854583158643598e-09,6.558100514705326e-08,2.8116580130742948e-08,0.17440643019619861,-1.1820064859567172e-08,5.8699463193741e-08,1.4025403247831253e-09,1.402540324768014e-09,-9.402319150631945e-09,1.450761845535213e-08,0.0004719384063896929,8.963306496209614e-11,2.9718715531066503e-06,0.8270445049006296,0.04537390546162323,False,50,1.3146468391649175e-09,2.952051859338043e-08,3.9204450398386366e-12,4.8348269433592334e-08,1.8584101150090595e-07,4.0423742846801504e-07,PASS,4.23424631292342
20,30,cum_vol_30d_BBL,bhp_vw_avg_30d,371947,62010,343,2.9870441256487175e-08,0.13849688515864386,-7.512320775604969e-09,6.695059526052518e-08,2.7900807171004948e-08,0.19257848262665767,-1.3165491841407737e-08,6.187883383203538e-08,1.969634085482227e-09,1.969634085445393e-09,-9.160069295683786e-09,1.595998316022315e-08,0.0004720119516604296,9.089690538071945e-11,4.17284790886475e-06,0.7664054978150412,0.04792685571792743,False,50,1.7653833092700202e-09,2.987179758870911e-08,3.46345812741265e-12,4.914914587304952e-08,1.9081857068334172e-07,4.1514505334182444e-07,PASS,4.237058922005887
