radius_km,window_days,a_star,psi,se_iid,se_cluster,ci_low,ci_high,epsilon,n_in_bin
3,365,10000.0,0.010136063936277227,0.0013878783112435894,0.0016284251026616595,0.006944409383539433,0.01332771848901502,4.371924247567084e-05,2949
3,365,100000.0,0.011345989007637176,0.00023327055880891193,0.0007992627662940273,0.009779462771517028,0.012912515243757324,-3.392750412234492e-05,2949
3,365,1000000.0,0.01577508043937874,0.0012054822387337798,0.0018373102589041995,0.012174018503500545,0.019376142375256932,-3.509211698285496e-05,2949
3,365,10000000.0,0.0200339215081579,0.00026322019681966846,0.0018362375015944835,0.016434962137970903,0.0236328808783449,-0.0001374612017079402,2949
3,365,100000000.0,0.015212672612951443,4.2519112895588986e-05,0.001350775287772488,0.012565201697710639,0.017860143528192245,-0.0015651033851197115,2950
2,365,10000.0,0.004946588265347153,0.0014209399458568644,0.0015080436649511325,0.001990876994929145,0.007902299535765161,8.789836593591855e-05,2949
2,365,100000.0,0.004815786538458291,4.447526128438324e-05,0.0004361442263737826,0.003960959562700593,0.005670613514215989,-1.6935327887537288e-05,2949
2,365,1000000.0,0.00846679041373049,0.0011046350665896217,0.001413839090650225,0.0056957167161211875,0.011237864111339792,-1.0573055195651857e-05,2949
2,365,10000000.0,0.009365704503710428,0.00016773803387306067,0.0011711385630985764,0.007070315099131229,0.011661093908289628,-5.252362941139278e-05,2949
2,365,100000000.0,0.007936588500735047,3.171532064058562e-05,0.0009167897704800112,0.0061397135691994825,0.009733463432270611,-0.0024011991891349947,2950
1,365,10000.0,0.001208954052737081,8.455115769082061e-06,0.00014734930218651603,0.0009201547273044005,0.0014977533781697612,-3.6570236458368876e-06,2949
1,365,100000.0,0.0014027613591773922,1.1760548862914186e-05,0.00017318006046474412,0.0010633346778260249,0.0017421880405287596,-4.576039084115167e-06,2949
1,365,1000000.0,0.0024917768027615055,0.0008447188346070203,0.001126331070326835,0.00028420847025245827,0.004699345135270552,1.0150210049124991e-05,2949
1,365,10000000.0,0.003141550173786495,0.00015922523332441917,0.0005330793662741103,0.002096733814987803,0.004186366532585187,1.6860735237353887e-05,2949
1,365,100000000.0,0.0024050904854396042,1.4501978321096801e-05,0.00034299188856945213,0.0017328387368541025,0.003077342234025106,-0.00048470648401373995,2950
5,365,10000.0,0.029849639490792234,0.001285184465616561,0.0022612830868924878,0.0254176060816334,0.03428167289995107,3.5336673053277078e-06,2949
5,365,100000.0,0.032038532658734235,0.0012128338625094367,0.002198742104600702,0.02772907732242506,0.036347987995043414,-6.883578363724208e-05,2949
5,365,1000000.0,0.037616136174181414,0.0022319120290200103,0.003813195611366135,0.030142410109897596,0.04508986223846523,-1.1473261463787207e-06,2949
5,365,10000000.0,0.04359630868880006,0.0006707244986199665,0.003754237813042303,0.03623813778583873,0.05095447959176139,0.00012166984350482215,2949
5,365,100000000.0,0.03835593477314139,9.657551337389522e-05,0.0030986467712542055,0.032282698700671825,0.04442917084561096,-0.00428663615330873,2950
7,365,10000.0,0.06371206966453638,0.0014143962812292194,0.003379490404098587,0.057088390186404436,0.07033574914266832,-2.2824120899180163e-05,2949
7,365,100000.0,0.06371388888121429,0.002138755576834749,0.003662992544816845,0.056534555417734556,0.07089322234469403,-5.156042169787439e-05,2949
7,365,1000000.0,0.06564264764896054,0.002980598302125642,0.005437101565157386,0.0549861244009657,0.07629917089695537,-1.8646980527930555e-05,2949
7,365,10000000.0,0.07537391622218498,0.0010044093602243043,0.005832782412930884,0.0639418727631818,0.08680595968118815,0.00019482209669496406,2949
7,365,100000000.0,0.0779779568980151,0.00015735186177729408,0.004987627851034784,0.06820238594169802,0.08775352785433217,-0.00441915929281264,2950
6,365,10000.0,0.04578317262201689,0.001495471019431618,0.002744553249717747,0.040403947098917745,0.05116239814511604,-3.743866629527494e-05,2949
6,365,100000.0,0.04658196361386975,0.0014573021837389218,0.002672849114358371,0.041343275613617565,0.051820651614121936,-8.681999096572446e-05,2949
6,365,1000000.0,0.0511507598270439,0.0026733350571968868,0.004831372691872333,0.041681443355083794,0.06062007629900401,2.80181736953247e-07,2949
6,365,10000000.0,0.0587485825074151,0.0008937667862408537,0.004735802878297778,0.049466579428070326,0.06803058558675987,0.00026697170556793894,2949
6,365,100000000.0,0.05337036953926855,0.00011414869459587664,0.0036650601017297465,0.04618698373870354,0.06055375533983356,-0.004518068714386416,2950
4,365,10000.0,0.019188633560996444,0.0012153766986902604,0.0018577709316997355,0.015547469443339542,0.022829797678653348,5.351801691856815e-05,2949
4,365,100000.0,0.020908154090898797,0.0011918961369148874,0.0018467869545981668,0.017288518172767983,0.02452779000902961,-4.389048073275075e-05,2949
4,365,1000000.0,0.02656958713231617,0.0018372607742792428,0.003226214435054059,0.02024632303320698,0.032892851231425366,1.6268952404728444e-05,2949
4,365,10000000.0,0.03291819444857315,0.0005558477375266845,0.003045125678140513,0.026949857791019636,0.038886531106126665,0.0001071463972677012,2949
4,365,100000000.0,0.028025023567087522,7.361226213533385e-05,0.0023137760468822637,0.023490105846906827,0.03255994128726822,-0.0023246762684148775,2950
8,365,10000.0,0.08198111766102448,0.0017614266603817122,0.004338962459507618,0.07347690751011822,0.09048532781193074,-9.128684104838163e-05,2949
8,365,100000.0,0.0820570694803252,0.0024502342850675897,0.004786945982680492,0.07267482775833274,0.09143931120231767,-2.6307006650681447e-05,2949
8,365,1000000.0,0.07965639259166586,0.0034139773982951216,0.006256901065616871,0.0673930918482265,0.09191969333510522,-1.668878368332752e-05,2949
8,365,10000000.0,0.09011379644338494,0.0010389941124336836,0.006157817466331514,0.07804469598600348,0.10218289690076639,0.00022103292807105883,2949
8,365,100000000.0,0.10259783573467686,0.0002423512120758102,0.005469297727203701,0.09187820916863083,0.11331746230072288,-0.0017337536756050797,2950
9,365,10000.0,0.10091446628689484,0.0017595797560050715,0.005210277758821298,0.09070250953015502,0.11112642304363465,-5.037219404153511e-05,2949
9,365,100000.0,0.10075177460656318,0.0025583357748161597,0.0055364865213671545,0.0899004604237921,0.11160308878933425,-9.793385706560764e-05,2949
9,365,1000000.0,0.09726426571764846,0.004059204182088648,0.006943560431395533,0.08365513734763581,0.1108733940876611,3.2341163704612956e-05,2949
9,365,10000000.0,0.10589237656331879,0.001425012894038061,0.006385677025433082,0.09337667957656509,0.11840807355007249,0.0005172958574060421,2949
9,365,100000000.0,0.127741313618143,0.0002580093286399169,0.005934907530636511,0.11610910860651989,0.1393735186297661,-0.0028394087574603035,2950
10,365,10000.0,0.11959595794601148,0.002022247798499489,0.005856524525903542,0.10811738080066502,0.13107453509135794,-0.0002080931751509869,2949
10,365,100000.0,0.11959001778768096,0.002532087699937203,0.005956608526847373,0.10791527960505591,0.13126475597030599,-0.00012927308274852516,2949
10,365,1000000.0,0.1145053852754233,0.004520491266828691,0.0073621059985671785,0.10007592266786533,0.12893484788298126,4.780368790157528e-05,2949
10,365,10000000.0,0.12474195317507683,0.0017634041379355637,0.0066465085109599096,0.11171503587065647,0.1377688704794972,0.0004579077043735153,2949
10,365,100000000.0,0.14594583594353921,0.0002126492975330613,0.00571484626524272,0.13474494308648025,0.15714672880059818,-0.005325872530407478,2950
11,365,10000.0,0.14064184300915739,0.0019473978215973219,0.0063872407227260055,0.12812308123202684,0.15316060478628793,-0.00030745431607513506,2949
11,365,100000.0,0.14094743446883937,0.00292020536237308,0.006388945196164311,0.12842533198515713,0.1534695369525216,-0.00013790869498330507,2949
11,365,1000000.0,0.13308782461422894,0.004855160290723519,0.007908796470792295,0.11758686837041855,0.1485887808580393,3.9314484343961324e-05,2949
11,365,10000000.0,0.14482642227185338,0.0020720577128467946,0.007360447192143379,0.1304002108651434,0.15925263367856338,0.0004609149270182321,2949
11,365,100000000.0,0.16121940836571838,0.00025365439306342525,0.006473637151501075,0.1485313126997958,0.17390750403164096,-0.0018915734142105165,2950
14,365,10000.0,0.18463454096945525,0.0022492407266436584,0.007250410810430337,0.17042399690789192,0.19884508503101858,-0.00039872047519035254,2949
14,365,100000.0,0.19243544993547698,0.003846594036425907,0.007733734155047468,0.17727760952557664,0.20759329034537732,-8.817890065036795e-05,2949
14,365,1000000.0,0.18948861629570146,0.005837609118334127,0.00984903690738249,0.17018485867482602,0.2087923739165769,5.113806322069616e-05,2949
14,365,10000000.0,0.20263309457375048,0.0023545817188890972,0.008217747976701412,0.18652660450538883,0.21873958464211213,0.0003323138183331421,2949
14,365,100000000.0,0.21584399256912076,0.0002713092018739402,0.00741224573223154,0.20131625788938623,0.2303717272488553,0.0013403081221034887,2950
12,365,10000.0,0.1565454714028103,0.002166709731112457,0.006554352786008534,0.14369917600026383,0.16939176680535678,-0.00021274611549725248,2949
12,365,100000.0,0.15923690098114782,0.0035009206848606615,0.006898937076523995,0.14571523277955273,0.1727585691827429,-0.00010063994763795146,2949
12,365,1000000.0,0.15200938115219306,0.005218943671607901,0.008972188872258998,0.13442421410007438,0.16959454820431175,4.016170914455142e-05,2949
12,365,10000000.0,0.16486408469721933,0.0019383054557028227,0.007797547009879615,0.1495811733900973,0.18014699600434136,0.0003192774786021156,2949
12,365,100000000.0,0.18606891271565326,0.000263497178471959,0.00706241753402007,0.17222682870518974,0.19991099672611679,-0.00059379977608775,2950
15,365,10000.0,0.19628347061195547,0.002881359342916842,0.007764690147512101,0.18106495757171875,0.2115019836521922,-0.0004146898958496613,2949
15,365,100000.0,0.20658835373936243,0.004091007722835473,0.007852430879788734,0.19119787202388636,0.2219788354548385,-3.4555965670903156e-05,2949
15,365,1000000.0,0.20889769976878586,0.005797066449636081,0.01005817873790956,0.1891840316924166,0.22861136784515512,1.3643923993987684e-05,2949
15,365,10000000.0,0.2255740571559129,0.0027491908310914776,0.008936233051809569,0.20805936221690968,0.2430887520949161,0.000462460582012755,2949
15,365,100000000.0,0.2334785214424829,0.00028553395499551423,0.007839310217568233,0.21811375575241232,0.2488432871325535,0.0009683101626957747,2950
13,365,10000.0,0.17009280912157695,0.002452241644425619,0.007415806805285115,0.15555809486691108,0.18462752337624283,-0.0003164430778066765,2949
13,365,100000.0,0.17283536371873565,0.0037586933643692553,0.00759401645058074,0.1579513649775927,0.18771936245987858,-0.0001248872041126392,2949
13,365,1000000.0,0.16925519501302616,0.005513844878895379,0.009529386324465297,0.15057794102230565,0.18793244900374667,4.76628767990342e-05,2949
13,365,10000000.0,0.18537947738148963,0.0020824483654564327,0.008241967269225738,0.16922551837204924,0.20153343639093002,0.00023662725300414348,2949
13,365,100000000.0,0.2054402812598662,0.00027806882740087163,0.00751766379004432,0.19070593098349845,0.22017463153623393,0.0023818536777957078,2950
16,365,10000.0,0.21054419691026016,0.0024199736199763343,0.007268022925346152,0.19629913373777025,0.22478926008275008,-0.000539100866007952,2949
16,365,100000.0,0.22007774989947193,0.004265477296551386,0.008122542802697892,0.20415785854329904,0.23599764125564482,-9.991649998393229e-05,2949
16,365,1000000.0,0.2268307363739641,0.006110187106995976,0.010822289659884556,0.20561943841033012,0.24804203433759806,0.00010054366714622875,2949
16,365,10000000.0,0.24969387893450598,0.00301088915661828,0.009747192084470085,0.23058973349855072,0.26879802437046124,0.0006402353133161916,2949
16,365,100000000.0,0.25928215524991355,0.0003003405800896409,0.008191802729772255,0.24322651693110303,0.27533779356872407,-0.002949198331324055,2950
17,365,10000.0,0.22574909415386674,0.002609318014175871,0.007112471630096724,0.21180890591781426,0.2396892823899192,-0.0005401738193768753,2949
17,365,100000.0,0.2342230100810296,0.004463286691643805,0.008435936973927324,0.21768887743628224,0.250757142725777,-0.00011559061765606656,2949
17,365,1000000.0,0.2458882566025244,0.006773318920715552,0.01158964484667575,0.22317297010942969,0.26860354309561907,0.00027909497969876316,2949
17,365,10000000.0,0.27374126477199157,0.0031275654615958736,0.009662732754794795,0.2548026565803583,0.29267987296362485,0.0005125132563379294,2949
17,365,100000000.0,0.306200496121811,0.0003140752950742297,0.008658621477325186,0.28922990987048863,0.32317108237313336,0.002106381723955467,2950
18,365,10000.0,0.24830819457033065,0.003325083146482792,0.00809784524441302,0.2324367095389022,0.26417967960175914,-0.0005758680584844389,2949
18,365,100000.0,0.25647567386811176,0.004327295803040134,0.008231322392754497,0.24034257843317489,0.2726087693030486,-0.00013589307260334193,2949
18,365,1000000.0,0.26605074112737825,0.007124527843920941,0.012213192493449447,0.2421133237039624,0.28998815855079413,0.0003442034376758943,2949
18,365,10000000.0,0.2933906612574948,0.0030728976779281643,0.009965043906573995,0.27385953409624947,0.31292178841874013,0.0004915669186756548,2949
18,365,100000000.0,0.3643198285396694,0.00034539952626345315,0.00965845344543623,0.34538960764025756,0.3832500494390812,0.005236562474149423,2950
19,365,10000.0,0.2597325323735524,0.002641768840534685,0.0073583530088614235,0.2453104254906521,0.2741546392564528,-0.0007396237933788055,2949
19,365,100000.0,0.27399274035241106,0.0046715567329492814,0.008579357680227518,0.257177508288678,0.2908079724161441,-0.00018805050575943484,2949
19,365,1000000.0,0.28560819279985517,0.007279139831766628,0.01281292125619338,0.2604953286009684,0.3107210569987419,0.0003030615968209125,2949
19,365,10000000.0,0.3148750360518384,0.00296876601882688,0.010134506270511035,0.29501176876054147,0.33473830334313537,0.00030622613589010363,2949
19,365,100000000.0,0.36171160381354067,0.00035035746154250347,0.009421808335923387,0.34324519880589155,0.3801780088211898,0.005175219568201644,2950
20,365,10000.0,0.2696777670523786,0.0030697994517608876,0.00791920002057438,0.25415642022568397,0.28519911387907326,-0.0008011558226257367,2949
20,365,100000.0,0.2881932689681119,0.004599294226659624,0.008578885953021496,0.27137896147271323,0.3050075764635106,-0.0002539930715970869,2949
20,365,1000000.0,0.3059745496360793,0.007388976249506262,0.012839620769375816,0.2808093553529502,0.33113974391920836,0.00033256258101666783,2949
20,365,10000000.0,0.33787609327635676,0.0026198750132489816,0.010233411873255722,0.317818974565811,0.35793321198690253,0.00029177428604085627,2949
20,365,100000000.0,0.3947393274271261,0.0003688668140793718,0.010134538163205793,0.374875997627296,0.41460265722695616,0.006625316280258378,2950
